"coord.join8","Lat","Long","Year","Parrotfish"
1621,20.94039345,-156.6930695,2009,11.35030468
1622,20.94042969,-156.6929169,2009,11.53942944
1623,20.94055396,-156.6930236,2010,19.52657278
1624,20.94058908,-156.6932624,2011,0
1625,20.94059302,-156.6932792,2012,13.20039226
1626,20.94063677,-156.6932655,2012,0
1627,20.94065898,-156.6930565,2012,0
1628,20.9407177,-156.6942596,2009,0.0558785073
1629,20.94077943,-156.6928442,2010,16.15496729
1630,20.94078445,-156.6929016,2009,6.996509982
1631,20.94080575,-156.6931346,2010,6.44608426
1632,20.94081522,-156.6929325,2010,0
1633,20.94082109,-156.6932308,2012,14.3734338
1634,20.94084358,-156.6944885,2009,0
1635,20.94084598,-156.6931755,2012,39.807039163
1636,20.94087982,-156.6929932,2008,0
1637,20.94092941,-156.6930084,2009,0
1638,20.94094276,-156.6928558,2009,8.2637555
1639,20.94100952,-156.6938782,2008,30.77181184
1640,20.94101328,-156.6931503,2010,0
1641,20.94108391,-156.6940155,2008,18.59736769
1642,20.94108391,-156.693924,2008,0
1643,20.94108772,-156.6940155,2008,0
1644,20.94110339,-156.6938417,2012,5.384989456
1645,20.94114161,-156.6938954,2010,0
1646,20.9411577,-156.6946646,2012,3.846339243
1647,20.94115963,-156.6930582,2010,18.539447558
1648,20.94119651,-156.6940374,2012,1.638752443
1649,20.94124898,-156.6928504,2012,0
1650,20.94125748,-156.6941681,2009,0
1651,20.9413064,-156.6930399,2012,4.834562117
1652,20.94134331,-156.6928711,2008,0
1653,20.94135946,-156.6940567,2012,6.3257546
1654,20.94142914,-156.6947174,2009,0
1655,20.94143271,-156.6928044,2012,0
1656,20.94148254,-156.6945343,2008,0
1657,20.94148703,-156.6942208,2011,0
1658,20.94154269,-156.6942741,2011,8.823210716
1659,20.94159608,-156.6943649,2012,0
1660,20.94160882,-156.6943497,2011,0.805760263
1661,20.94160899,-156.6945939,2012,0
1662,20.94161034,-156.6930542,2008,0
1663,20.94161259,-156.6947185,2011,9.589874866
1664,20.94163304,-156.6947197,2012,0
1665,20.94174576,-156.6929779,2009,5.384989456
1666,20.94177628,-156.6943054,2009,0
1667,20.94178107,-156.6929059,2010,21.539956746
1668,20.94184988,-156.6927137,2012,0
1669,20.94188499,-156.6949463,2009,0
1670,20.94191886,-156.6946766,2011,0
1671,20.94192322,-156.6945931,2011,0
1672,20.94193965,-156.694386,2011,0
1673,20.94197273,-156.6945648,2009,4.7443154
1674,20.94199753,-156.6928101,2008,0
1675,20.94214058,-156.6927032,2009,0
1676,20.94231606,-156.6960297,2008,32.309936736
1677,20.94234276,-156.6927948,2009,0
1678,20.94239336,-156.692826,2011,0
1679,20.94261498,-156.6943492,2012,8.0727196
1680,20.9426496,-156.6945315,2012,86.28389058
1681,20.94265002,-156.6949203,2012,2.4424004
1682,20.94266452,-156.6945357,2011,12.303676001
1683,20.94266703,-156.6949368,2012,4.7443154
1684,20.94268086,-156.6944219,2010,2.4424004
1685,20.94268799,-156.693924,2008,0
1686,20.94269008,-156.6943799,2012,6.966428216
1687,20.94271439,-156.6948491,2012,7.25230176
1688,20.942745,-156.694891,2011,0
1689,20.94275194,-156.6946781,2012,2.4424004
1690,20.94275245,-156.6929005,2012,6.50885664
1691,20.94275597,-156.6947205,2012,5.670863
1692,20.94276393,-156.6944259,2010,4.7443154
1693,20.94278061,-156.6938319,2010,0
1694,20.94289133,-156.6947662,2010,18.036645
1695,20.94290709,-156.6946075,2012,15.2999792
1696,20.94292972,-156.6942941,2012,19.42375996
1697,20.94293213,-156.693573,2008,0
1698,20.94297658,-156.6943944,2010,14.8737666
1699,20.94309183,-156.6946182,2011,16.92096714
1700,20.94309753,-156.6947255,2012,4.7443154
1701,20.94311142,-156.6944122,2008,1.535504602
1702,20.94315394,-156.6946692,2012,12.9575204
1703,20.94318839,-156.6943307,2012,19.621908637
1704,20.943194,-156.694524,2011,8.1132634
1705,20.94322401,-156.6945183,2012,8.768155
1706,20.94328243,-156.6946738,2012,60.979737641
1707,20.9432971,-156.6943668,2010,42.37024616
1708,20.94332132,-156.6945541,2012,0.28540138
1709,20.94332811,-156.6945684,2010,0
1710,20.94335636,-156.6946533,2011,14.8737666
1711,20.94337522,-156.6946026,2012,33.61934994
1712,20.94338084,-156.6929294,2012,0
1713,20.94338989,-156.6933899,2009,0
1714,20.9434166,-156.6944122,2008,18.938756716
1715,20.94347572,-156.6931,2009,0
1716,20.94355011,-156.6935425,2008,0
1717,20.94359072,-156.6944105,2011,0
1718,20.94363464,-156.693204,2012,0
1719,20.94364671,-156.694079,2011,0
1720,20.94366901,-156.6931524,2011,0
1722,20.94372368,-156.6948547,2009,11.62712738
1723,20.9437866,-156.6945474,2012,38.7194104
1724,20.94379044,-156.6946259,2008,2.8026394
1725,20.94382477,-156.6944122,2008,0
1726,20.94382751,-156.6934841,2011,0
1727,20.94383832,-156.6946334,2012,8.0727196
1728,20.94384234,-156.6932147,2011,0.227820281
1729,20.94385953,-156.6942803,2010,0
1730,20.94388962,-156.6949921,2009,1.86684014
1731,20.94393349,-156.6947174,2008,0
1732,20.94396591,-156.6929779,2009,0
1733,20.94396858,-156.6935281,2012,0
1734,20.9439888,-156.6942444,2009,12.212002
1736,20.94402122,-156.6930847,2009,0
1737,20.94403076,-156.694519,2008,10.5556638
1738,20.94403203,-156.6942585,2011,0
1739,20.94407272,-156.692749,2009,0
1740,20.94407402,-156.6940217,2011,0.57080254
1741,20.94408417,-156.6932526,2008,21.56789599965
1742,20.94408517,-156.6948011,2012,0
1743,20.9440937,-156.6946716,2008,4.8848008
1744,20.94410896,-156.6950836,2008,23.72750039
1745,20.94419723,-156.6940795,2012,0
1746,20.94419941,-156.6936663,2012,0
1747,20.94422003,-156.6950352,2011,0
1748,20.944224,-156.695247,2011,52.377972372
1749,20.94424057,-156.6938324,2009,0
1750,20.94428253,-156.6947021,2009,0
1751,20.94428608,-156.6941925,2010,0
1753,20.94431517,-156.6947294,2011,6.46623956
1754,20.94431525,-156.6939583,2010,2.803569263
1755,20.94432514,-156.6943408,2011,0
1756,20.94436278,-156.6943633,2010,0
1757,20.94439002,-156.6939201,2012,4.00370082
1758,20.94440242,-156.6950723,2010,5.670863
1759,20.94442346,-156.6931412,2010,5.384989456
1760,20.94443084,-156.6950383,2012,23.07885888
1761,20.94443603,-156.6946849,2011,6.80649516
1762,20.94443846,-156.693812,2012,0
1763,20.94443914,-156.6947985,2010,8.1132634
1764,20.94444693,-156.6938033,2012,0
1765,20.94449177,-156.6940001,2010,0
1766,20.94452095,-156.6937561,2009,2.4424004
1767,20.94453049,-156.6950684,2009,5.670863
1768,20.94453653,-156.6946176,2010,23.33131084
1769,20.94454139,-156.6953495,2010,0
1770,20.94455816,-156.6949791,2012,52.3129684
1771,20.94461823,-156.6936951,2008,0
1772,20.94462153,-156.6945665,2012,6.3257546
1773,20.94466981,-156.6950976,2011,0
1774,20.94468117,-156.6953125,2009,2.79961968
1775,20.94471169,-156.6954803,2009,0
1776,20.94475572,-156.6948661,2012,41.8352693
1777,20.94477307,-156.6933637,2010,21.000026036
1778,20.94478447,-156.6954029,2011,19.029257412
1779,20.94483694,-156.6941022,2012,7.827389856
1780,20.94486561,-156.6940254,2011,0
1781,20.94490685,-156.695288,2010,0
1782,20.94490814,-156.6935425,2008,8.7723064
1783,20.94491766,-156.6937674,2012,0
1784,20.94501246,-156.695671,2011,10.5556638
1785,20.94501891,-156.6953635,2010,6.50885664
1786,20.94504691,-156.6955989,2010,0
1787,20.94507691,-156.6955041,2010,4.8848008
1788,20.94511145,-156.6949024,2012,0
1789,20.94516754,-156.6942596,2008,0
1790,20.94519424,-156.6946106,2008,0
1791,20.94520424,-156.6934602,2012,44.06001061
1792,20.94522667,-156.6934357,2009,20.00144377
1793,20.94524002,-156.6947479,2009,4.72002674
1794,20.94531848,-156.6947806,2011,0
1795,20.94532561,-156.6950682,2012,7.22176114
1796,20.94535446,-156.6940765,2008,0
1797,20.94535828,-156.6937408,2009,0
1798,20.94540024,-156.6936188,2009,5.384989456
1799,20.94541286,-156.6940607,2010,0
1800,20.94545364,-156.694931,2008,0
1801,20.94546127,-156.6951294,2008,0
1802,20.94552803,-156.694931,2009,0
1803,20.94554136,-156.6939322,2011,0
1804,20.94561118,-156.6944531,2012,0
1805,20.94561478,-156.6950702,2012,7.992476063
1806,20.94565518,-156.6938871,2010,11.6189535
1807,20.94566536,-156.6952057,2009,0
1808,20.94567871,-156.6950378,2008,0
1809,20.94580078,-156.6942596,2008,0
1810,20.9458065,-156.6954498,2009,51.22610426
1811,20.9458369,-156.6952673,2010,0
1812,20.94584846,-156.6953888,2009,0
1813,20.94587135,-156.6949005,2009,0
1814,20.945912,-156.6931115,2011,0
1815,20.94592994,-156.6957199,2012,0
1816,20.94594469,-156.6953607,2012,0
1817,20.94594662,-156.6950055,2012,15.38590592
1818,20.94601468,-156.6950706,2010,0
1819,20.94602394,-156.6951447,2008,0
1820,20.94603348,-156.6937408,2009,0
1821,20.94603729,-156.6940765,2009,0
1822,20.94605315,-156.6956418,2011,7.827389856
1823,20.94606209,-156.6953888,2009,0
1824,20.94607595,-156.6933592,2011,0
1825,20.94607654,-156.6939084,2011,3.84647648
1826,20.94608794,-156.6936345,2011,16.15496729
1827,20.94608879,-156.6933746,2009,0
1828,20.94609624,-156.6951652,2011,14.8737666
1829,20.94611549,-156.6940765,2008,0
1830,20.94611944,-156.6955361,2012,45.4799136
1831,20.94614029,-156.6950226,2009,0
